"id","name","description","year","image_url","max_players","max_play_time","type"
"1","Carcassonne","A tile-laying game where players build a medieval landscape and score points for completing features.","2000","https://upload.wikimedia.org/wikipedia/en/0/0b/7_Wonders_-_New_Edition_boxart.png","5","45","Strategy"
"2","Catan","A classic game of resource management and trading on a hexagonal board.","1995","https://upload.wikimedia.org/wikipedia/en/a/a3/Catan-2015-boxart.jpg","4","90","Strategy"
"3","Ticket to Ride","A cross-country train adventure where players collect sets of colored train cars to claim railway routes connecting cities.","2004","https://upload.wikimedia.org/wikipedia/en/9/92/Ticket_to_Ride_Board_Game_Box_EN.jpg","5","60","Strategy"
"4","7 Wonders","A card drafting game where players lead an ancient civilization to prosperity through three ages of development.","2010","https://upload.wikimedia.org/wikipedia/en/0/0b/7_Wonders_-_New_Edition_boxart.png","7","30","Strategy"
"5","Scythe","An engine-building game set in an alternate-history 1920s Eastern Europe where players lead factions vying for control.","2016","https://upload.wikimedia.org/wikipedia/en/1/1a/Scythe_boxart.png","5","115","Strategy"
"6","Terraforming Mars","A game of resource management and card drafting where players compete to make Mars habitable.","2016","https://upload.wikimedia.org/wikipedia/en/f/f0/Terraforming_Mars_board_game_box_cover.jpg","5","120","Strategy"
"7","Agricola","A worker placement game where players manage a farm growing crops, raising animals, and expanding their family.","2007","https://upload.wikimedia.org/wikipedia/en/f/f6/Agricola_game.jpg","4","150","Eurogames"
"8","Castles of Burgundy","A dice-rolling and tile-laying game where players develop their estates and trade goods.","2011","https://upload.wikimedia.org/wikipedia/en/d/dd/The_Castles_of_Burgundy_Box_cover.jpg","4","90","Eurogames"
"9","Puerto Rico","A classic Eurogame where players take on roles in a colonial Caribbean economy, shipping goods and developing their plantations.","2002","https://upload.wikimedia.org/wikipedia/en/6/66/Puerto_Rico_game.jpg","5","150","Eurogames"
"10","The Castles of Tuscany","A dice-rolling and tile-laying game where players build castles and landscapes in Renaissance Italy.","2020","https://cf.geekdo-images.com/_MfRr0gL7MZkqhea1qIyeA__itemrep/img/38icMM5LI4LQbKmS7nCBMvpk154=/fit-in/246x300/filters:strip_icc()/pic5657331.jpg","4","75","Eurogames"
"11","Codenames","A word association game where two teams compete to identify their secret agents.","2015","https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__itemrep/img/e8zw8YQvQB8q8zfWkHQ48Ls920g/pic2582929.jpg","8","15","Party"
"12","The Resistance","A social deduction game where players are either members of the Resistance or Imperial spies trying to sabotage missions.","2009","https://cf.geekdo-images.com/cAPTkL2BR3snLO71dkH8rw__itemrep/img/B-g9_MGH_PcCOh8tQ6IMKyJq6Xw=/fit-in/246x300/filters:strip_icc()/pic2576459.jpg","10","30","Party"
"13","Tokaido","A worker placement game where players journey along the East Sea Road in Japan, collecting souvenirs and experiencing encounters.","2012","https://cf.geekdo-images.com/81z-qIsx51gT1PDRGQ_dDA__itemrep/img/wIQVnA4Rc0ItnWuJFAokbWpDsCU=/fit-in/246x300/filters:strip_icc()/pic7739376.jpg","4","45","Party"
"14","Dixit","A storytelling game where players use cards with dreamlike illustrations to create imaginative narratives.","2008","https://m.media-amazon.com/images/I/91w5vzmt5FL._AC_UF894,1000_QL80_.jpg","6","30","Party"
"15","Pandemic Legacy: Season 1","A cooperative campaign game where players fight to cure diseases and prevent outbreaks with the game's story evolving over multiple sessions.","2015","https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__itemrep/img/Wxe36yaTzpiIVhEefHOYzFv7Ucc=/fit-in/246x300/filters:strip_icc()/pic2452831.png","4","60","Cooperative"
"16","Forbidden Island","A cooperative game where players race to collect treasures from a sinking island before it's too late.","2010","https://m.media-amazon.com/images/I/71tbOcC2WmL.jpg","4","30","Cooperative"
"17","Hanabi","A cooperative card game where players hold their cards facing away from them and try to play them in the correct order.","2010","https://upload.wikimedia.org/wikipedia/en/b/b1/Hanabi_cover.jpg","5","25","Cooperative"
"18","Dominion","A deck-building game where players start with a basic deck of cards and acquire new, more powerful cards throughout the game.","2008","https://prodimage.images-bn.com/pimages/0655132005319_p0_v1_s1200x630.jpg","4","30","Deck-building"
"19","Star Realms","A fast-paced space-themed deck-building game for two players.","2014","https://cf.geekdo-images.com/EsJqPL5CB_TMt0MYL-lnVg__itemrep/img/dxhJELqcs6kDXA_SrvcaIjX5N_Q=/fit-in/246x300/filters:strip_icc()/pic1903816.jpg","2","20","Deck-building"